 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";9916;13077;14414;14385;15579;14521;14968;14169;14188;13431;13862;12032;11669;12486;14025;9164;15680;15006;15150;15514;15220;15524;15558;14972;14799;13749;16045;15605;16020;14665;14601;14640;14728;14129;13993;13774;14153;14257;14983;15117;14222;14533;15412;14138;14726;13937;13801;14775;13551;12900;15127;14319;14150;13789;14519;14548;13877;13363;13665;12140;12041;11679;13961;14562;14407;14444;14249;14218;15072;14246;14145;12735;12906;13075;13781;13450;14512;13682;14165;12835;13228;13842;13555;12224;12645;11827;13747;13458;14121;13844;14834;14173;14175;14460;13519;12198;12793;12468;14201;14390;14348;14338;13780;12886;11359;13839;12821;13179;12841;12402;14282;14149;14835;13691;14690;14288;13751;13452;13168;12820;13325;13084;14465;15576;15962;14765;15660;15126;14764;14694;14701;12792;14985;14323;15521;15085;16867;15536;16007;16672;15384;15290;15097;14596;15054;15055;14785;12625;12139;12876;13752;13904;13906;14928;14275;13084;14612;12673;11382;2231373
"25 Paraíba";17126;18002;19586;20377;19849;19519;20035;19816;19332;19676;18407;18129;17881;17768;20160;20264;21557;20352;20600;20603;20459;19875;20688;19840;19835;19109;20678;20186;21368;20276;21391;21088;20192;19840;19508;18843;18159;18714;20056;18768;18307;17741;18809;17983;18108;17766;17628;17356;16259;16512;18442;17749;18255;17051;17444;17261;16819;16640;16655;15339;15781;15104;17041;17911;18240;18293;18133;17851;17218;16587;16351;15948;16113;15238;15960;16487;16412;16198;16181;17236;17132;17355;16255;15655;14985;14293;16055;15757;15883;15865;16223;16015;15646;15431;14145;13950;13646;15118;15639;15508;15846;15709;15067;15755;14881;15005;14038;14046;14726;13912;15619;15764;16748;15821;15329;16173;15950;16162;16152;15370;14501;14096;15991;15950;16776;15983;16476;16922;15476;15459;15184;14479;15155;14326;16037;15871;17594;16300;16655;16645;16489;15798;15800;14983;14082;14432;14157;11748;11427;12427;13493;13915;13504;13887;13663;12584;13084;13927;13311;2667535
"26 Pernambuco";25390;37840;43532;47885;47107;45761;45227;48471;47176;42729;43008;44295;37188;40921;42975;45034;45621;45057;44949;45319;45477;46605;44996;43065;41971;40038;43695;45742;45682;46445;46261;47255;44776;47777;47835;46243;44003;45436;43823;46764;46546;45825;46674;45982;46062;48277;45040;45421;43116;41900;43868;48229;47332;47998;46123;47293;45041;43562;46154;43661;41632;41539;45825;45731;47382;47730;47724;48656;46217;47208;45016;45562;42598;42608;43123;45467;47734;46470;47183;47638;48923;48180;47033;44171;44063;41482;46610;46490;47260;46805;45755;46450;44514;44387;44685;42656;43928;42944;45795;45223;46872;46221;47300;48002;46759;44988;42505;42671;42684;42777;46986;46466;50344;48996;49060;49072;47629;47041;45869;45888;44807;42594;48334;48157;50351;48218;48180;49297;46717;48171;46210;43908;46340;44356;47317;49156;51443;49068;50727;50623;48911;50851;49107;46717;48307;44232;44661;32876;33907;36278;41780;41693;41064;41570;42966;40862;41644;39170;41126;7193701
"27 Alagoas";12168;15021;14573;16570;16344;16828;16454;15912;15869;16505;15217;14269;13941;13716;15962;16572;16674;15847;16010;15102;15912;16269;15269;15274;15666;14108;16212;16419;16150;15246;15939;15509;16336;15691;15615;14864;14596;14640;14457;15949;16581;15780;16177;16273;16409;15910;15315;16024;15179;14576;14549;14197;15378;15420;15344;14691;14837;14723;13046;13737;13561;13664;13891;15130;15704;15127;16136;15050;14760;15838;13962;14097;13964;12933;12753;13091;14012;13660;14495;14596;13863;14370;14351;13346;13300;13509;14010;13840;15258;14411;16531;15420;15102;13974;14390;14073;13902;14077;14713;14517;15340;15383;15734;15455;15053;14366;13635;13022;13838;13398;14547;14732;15522;15508;15941;15778;15109;15408;14415;14113;14380;14199;14758;15183;15557;14335;15442;14872;15262;15125;14571;13831;13936;13811;14398;14331;15070;15321;15962;15351;15084;15484;14774;14158;14508;13495;13877;11807;10221;9380;11245;12530;12282;13493;14040;13729;12725;13881;13155;2339062
"28 Sergipe";5832;7214;9010;9219;8828;9567;10214;9056;9497;8558;7780;6942;6738;6184;7607;8464;9189;8199;8046;7706;8659;7586;8408;7295;7581;6533;7534;8669;9143;7256;8366;8548;8390;7861;8454;7177;8091;7120;7970;7477;8001;7547;8021;7858;8068;7779;7376;7294;7380;7081;7914;8407;8172;8995;7843;8137;7576;7875;7114;6720;6814;7155;8368;8097;7715;7394;8235;7634;7378;7070;7107;6834;7413;6964;7406;7167;7795;7605;7324;7372;7944;7739;7532;7047;7283;7075;8277;8314;8680;8088;8328;8422;8264;8248;7865;7014;7203;7033;8089;8088;8659;8022;8678;12489;6439;6353;6948;7003;7134;6877;7035;7773;8660;7658;7876;8552;8434;8219;7418;6971;7479;7043;7337;8054;8437;7981;8619;8596;8014;8503;7553;7161;7931;7274;7343;8379;8977;7863;8077;7880;7909;8032;8055;7203;8229;8014;8014;6695;6444;6027;6677;7116;6862;7717;7883;6986;7523;8114;7754;1239459
"29 Bahia";41659;52462;60717;75478;80943;85998;79965;79285;77754;75886;64915;65167;59920;68827;77181;76428;74214;75154;75569;76711;78691;75044;76265;73176;73112;70748;79346;77456;78711;72744;75774;78408;74905;75448;74215;71454;72496;69844;76933;77188;68367;74899;76834;74603;75979;73287;73957;69560;68584;68714;76298;73736;75362;73010;74224;74643;71675;71563;67708;60655;62879;60114;65974;69421;69086;69751;73417;73279;69745;74361;66300;64173;67443;65519;65798;68146;68933;66540;72641;73337;74096;73778;67404;66995;68759;62873;72261;69191;70875;68495;72161;73220;72742;72971;71367;65105;64985;66727;70285;71923;70129;67470;68595;71778;69582;68127;61479;59090;63330;59587;67074;64673;69263;69648;66771;67406;70242;73117;68946;63421;67827;62676;67383;71047;71832;68498;71470;72221;69905;72553;69833;63929;67324;64011;68770;71696;73660;70741;74917;76114;72993;73268;70275;66404;66693;65474;66174;54610;52157;51534;54629;55385;56775;61703;61433;59600;55892;55416;58649;11028118
"31 Minas Gerais";67509;91729;98173;96066;98259;109136;100480;100496;100127;101279;94599;90483;91456;90271;97387;96052;99705;95784;98421;97939;95618;95957;95187;90567;94171;89659;98602;97447;99575;95935;97398;97917;95656;95348;95569;95341;95436;92497;98016;98529;99365;97321;102249;100557;98271;96363;97186;97193;96614;91847;102084;96577;102472;101005;101756;101014;99902;100289;93953;93399;97466;91407;99296;100886;102419;101047;103099;103387;101972;103578;101164;96980;102001;99344;102392;100181;109701;103915;106780;105228;106423;105891;104797;97814;98685;96126;103904;104182;106888;104615;103890;100167;103236;101034;99314;97557;97833;96422;102732;100987;102864;104473;102144;102271;99531;96623;94116;98400;96511;91740;101549;96408;104079;101336;103019;103710;100291;100044;100285;99588;99867;95364;106139;106274;106289;105206;107468;106723;104937;105100;101051;101342;103711;101887;105754;109134;115602;108317;112821;111179;106983;111051;103735;102326;107064;101454;96695;83065;84941;83365;90166;90855;93194;95676;95167;92233;91156;90985;93552;15790743
"32 Espírito Santo";9502;13457;15472;15591;14423;16422;17222;16370;17137;17070;16194;14630;14338;15199;16527;17310;18002;16956;16946;17987;17145;17158;16297;15310;16660;15254;16250;15515;17044;16586;16902;16614;17383;17435;17264;17352;17411;16529;18517;17713;18904;18395;18653;19705;17886;17880;18246;17946;17509;17300;18913;18818;18358;18292;18353;18871;18487;18347;18272;17744;17967;16906;17535;18577;18885;18358;18109;18238;18040;18904;18377;17349;18386;17714;17495;17630;19517;18906;19793;20071;19269;20091;19529;17894;18353;17877;19514;19226;19137;20381;20825;19905;18648;19171;19746;17660;18956;17996;18969;19219;19764;20397;19910;20153;19235;19411;19356;19997;19373;18490;20759;19853;20618;20807;20415;20402;19542;19957;21522;20166;21176;19861;19666;21186;21562;20380;20441;20559;19636;20210;19394;18969;19460;19073;19352;19580;20607;20120;22238;21895;21422;22048;20196;21189;21567;20292;20629;18863;18746;16546;17444;16959;17811;18866;19165;19305;19753;18914;20132;2944435
"33 Rio de Janeiro";34859;42519;64262;58193;63386;67137;64725;65694;65615;62596;56809;57971;54516;54560;59332;58527;62750;60207;63655;61957;61246;59935;60113;57823;56624;57863;63338;60078;65075;61782;64949;64966;61076;60413;59770;59360;57589;59345;62316;62904;65086;61900;61285;59593;59103;59140;58062;58098;53068;51703;61303;58328;61289;61848;61585;61313;57013;57645;52924;50559;53040;50898;55353;57426;58859;56673;59459;59657;57971;57561;54645;51166;55585;55071;54131;55212;56903;54281;60658;60077;60594;60996;57143;53386;57047;55076;62170;62189;61765;61764;64452;61960;59714;60483;57705;55992;56877;54793;60949;58758;57098;57535;57529;58934;55284;52746;52889;52217;51905;52096;57025;54005;60396;59216;60978;62315;58972;59902;57213;55765;58491;54938;60976;62695;63696;62313;64770;63277;61038;61536;59394;54733;62412;58662;59485;60178;66743;63076;66185;66583;64738;65341;62448;58874;61847;57645;56025;48287;53202;53780;58219;57704;57618;58285;56936;57643;57968;53027;59441;9339348
"35 São Paulo";125361;167935;182546;191738;213461;206749;215448;207742;210121;207423;186950;187961;175232;180149;207440;197854;209767;206616;211006;211037;211890;208593;206629;194281;199959;191104;213582;214638;212001;207011;208037;210693;212859;204320;209019;210764;200250;201958;213018;211257;217654;203972;219327;209264;211285;209062;207246;202818;193264;198234;215670;210316;217636;206149;211623;216998;206245;207483;201558;189249;199363;191201;199928;216174;213738;206641;209728;217247;210176;216390;201332;189555;205095;198974;202933;204303;218471;206846;217525;218410;211207;213495;205093;193789;200669;195822;214457;214530;215982;213252;214708;211432;207071;206868;198472;200105;193621;197523;214011;212574;214203;219463;214578;213854;207266;202528;200477;199516;194491;188971;218328;200960;221627;211476;211326;219519;208813;211410;207304;204663;205276;198870;217390;216480;218845;211149;213834;218516;208957;217989;207524;203507;211529;203599;217474;221678;227301;216433;221477;227118;217446;226223;211605;204599;215766;205588;208684;158154;163154;171995;186615;184491;190888;195965;195128;188020;194844;189786;190455;32633288
"41 Paraná";51180;63698;64875;62484;62398;64756;64701;63601;63881;64759;59754;62251;63304;62324;66508;66180;66815;65232;67425;66360;65984;66334;64640;64945;62736;61967;67421;67650;68350;67854;67781;68586;67743;67575;67628;65603;66513;64305;65614;67398;65627;66271;67095;64402;63812;65183;64792;64820;64290;62007;65434;65291;68215;67024;67042;68216;67168;66044;64329;62302;62555;61129;63927;65802;65917;64873;65474;65501;65475;64748;64644;60736;62308;62833;62207;62237;64984;63690;66139;67134;67372;66064;65236;61371;61601;60968;64462;65391;66829;66238;66928;65998;65464;64674;65470;63630;63458;62819;67614;68271;70568;69510;70527;69577;68704;68633;67007;64823;64159;65500;69902;69040;72242;70422;72381;73596;72435;72798;72574;71898;72523;69285;73290;74694;74550;74055;75967;75583;74894;75555;75725;70796;73808;72305;74149;73739;77224;74623;76543;75193;75890;76346;75343;70897;73663;75184;68857;56146;61109;53099;56436;59491;60043;64707;64151;57940;59895;64360;61025;10606027
"42 Santa Catarina";23728;31074;31657;31394;31631;33780;33536;33399;32902;34103;28929;30636;32347;30003;34252;32828;33625;32945;35063;34049;35058;34349;33788;30008;32489;29456;33821;33129;32545;32122;32899;34105;32944;32752;33139;34270;31054;32470;33298;32846;36282;33909;35210;33458;34298;35604;34577;33179;32159;32386;35466;32993;36575;35041;35463;36972;33633;35575;34051;30716;33097;31667;33412;35515;36579;35283;37112;36228;35830;36394;36606;34053;35451;35742;35091;35927;38205;37013;38249;40698;40214;39541;37402;33802;35854;35528;37604;37844;37756;38851;39536;40629;39793;40872;37486;36181;36944;37158;37782;40132;40880;41507;40010;41010;40572;39773;38880;36306;37313;35247;40260;37018;41831;41200;41205;41849;39915;39756;39296;38364;36084;37955;41982;41653;41931;43127;43080;43409;41411;42033;39827;38419;40966;39164;40124;41410;44637;43150;45429;44898;44272;45410;43000;40757;40163;41869;39615;31707;31374;32989;32288;32575;34469;35615;36867;35445;36518;36113;35822;5794780
"43 Rio Grande do Sul";41729;64759;61553;64452;57030;58637;64650;63736;61539;62163;57516;59336;54755;56273;63135;62772;62103;61947;64277;64439;62980;62947;61197;60221;59031;57151;60461;61343;63733;60032;63330;63079;60440;60551;60621;60952;55577;53295;59463;56077;60048;64691;62961;58677;58912;59241;60278;55947;55459;57229;62847;58181;62642;64672;65955;65979;59040;59370;60427;53399;59104;55216;61358;63042;64564;60734;66651;66130;62030;64634;62360;61196;61985;59648;60109;62156;64838;64371;67163;65497;65647;68427;64374;60641;61404;58794;66148;65840;65736;67155;68567;67146;63420;63128;65567;61506;58456;60605;62484;62569;63231;63598;65611;66332;61900;65487;62328;62474;59782;55297;61559;60684;66264;65094;67546;65989;65078;63411;63229;60720;60529;56845;62307;62861;62872;62356;64422;64891;63934;63057;61525;59893;59864;59635;60623;62682;66038;65711;68572;68633;66179;68939;63040;61652;64143;61972;63929;51290;50512;51290;53478;52798;52877;59534;57606;56160;57038;54431;54812;9770181
